USB PD Specification - Table Structure Summary
==================================================

Table No.  Page   Rows   Columns  Expected Cells  Actual Cells   
518        524    42     17       714             54             
519        524    3      2        6               2              
520        524    2      2        4               2              
521        524    3      2        6               2              
522        524    2      2        4               2              
523        524    2      2        4               2              
524        524    3      2        6               3              
525        524    3      3        9               4              
526        524    3      2        6               2              
527        524    2      2        4               2              
528        525    17     3        51              38             
529        526    16     3        48              34             
530        527    7      3        21              15             
531        528    4      6        24              5              
532        528    27     18       486             27             
533        528    3      2        6               2              
534        528    2      2        4               2              
535        528    2      2        4               2              
536        528    3      3        9               3              
537        529    14     3        42              31             
538        530    8      3        24              16             
539        531    26     17       442             30             
540        531    3      2        6               2              
541        531    3      3        9               3              
542        531    2      3        6               2              
543        531    3      3        9               3              
544        531    3      3        9               3              
545        531    2      2        4               2              
546        531    3      2        6               2              
547        531    3      3        9               3              
548        532    14     3        42              32             
549        533    8      3        24              16             
550        534    26     20       520             35             
551        534    2      2        4               2              
552        534    2      3        6               2              
553        534    4      3        12              4              
554        534    3      3        9               3              
555        534    3      2        6               2              
556        534    3      2        6               2              
557        534    3      3        9               3              
558        534    3      2        6               2              
559        535    13     3        39              30             
560        536    13     3        39              28             
561        538    59     19       1121            74             
562        538    3      2        6               4              
563        538    3      2        6               2              
564        538    2      2        4               2              
565        538    3      2        6               2              
566        538    2      2        4               2              
567        538    3      2        6               2              
568        539    16     3        48              37             
569        540    15     3        45              35             
570        541    9      3        27              19             
571        542    2      3        6               3              
572        542    16     16       256             21             
573        542    2      2        4               2              
574        542    3      3        9               4              
575        542    2      3        6               3              
576        542    2      3        6               4              
577        543    16     3        48              37             
578        544    4      3        12              10             
579        545    2      3        6               3              
580        545    19     18       342             24             
581        545    3      3        9               4              
582        545    2      3        6               3              
583        545    2      3        6               4              
584        546    16     3        48              37             
585        547    4      3        12              10             
586        549    2      2        4               2              
587        549    2      2        4               2              
588        549    72     19       1368            84             
589        549    2      2        4               2              
590        549    2      2        4               2              
